draw_seq,date,p1,p2,p3,p4,p5,p6,strong_num
1040,2026-06-15,19,32,26,29,10,24,3
1039,2026-06-12,16,10,8,15,6,33,3
1038,2026-06-08,13,8,2,23,32,3,7
1037,2026-06-05,25,34,7,5,26,28,4
1036,2026-06-01,19,28,13,36,27,37,4
1035,2026-05-29,17,16,33,5,9,28,5
1034,2026-05-25,11,19,32,16,24,20,6
1033,2026-05-22,25,6,19,27,9,8,6
1032,2026-05-18,30,9,22,18,8,10,5
1031,2026-05-15,9,21,32,14,22,31,4
1030,2026-05-11,2,21,14,13,29,35,4
1029,2026-05-08,34,30,11,6,21,15,5
1028,2026-05-04,20,18,11,26,35,19,6
1027,2026-05-01,5,17,8,25,22,21,1
1026,2026-04-27,36,37,26,27,24,17,3
1025,2026-04-24,26,2,19,36,34,9,5
1024,2026-04-20,22,24,9,17,4,5,2
1023,2026-04-17,11,18,13,23,33,2,2
1022,2026-04-13,28,18,17,2,36,7,4
1021,2026-04-10,34,21,5,29,32,31,6
1020,2026-04-06,13,12,19,15,1,31,6
1019,2026-04-03,10,2,25,23,9,29,5
1018,2026-03-30,23,35,1,28,13,17,4
1017,2026-03-27,19,26,7,25,16,21,4
1016,2026-03-23,27,9,22,3,4,17,5
1015,2026-03-20,12,29,14,1,19,15,1
1014,2026-03-16,10,18,19,5,34,31,4
1013,2026-03-13,34,29,26,21,22,6,1
1012,2026-03-09,35,2,11,7,37,31,1
1011,2026-03-06,6,2,34,13,11,29,7
1010,2026-03-02,22,31,35,17,8,21,1
1009,2026-02-27,6,26,4,35,19,34,6
1008,2026-02-23,3,27,37,29,8,10,6
1007,2026-02-20,23,5,21,32,4,34,7
1006,2026-02-16,13,24,14,33,30,37,6
1005,2026-02-13,4,8,28,31,5,32,6
1004,2026-02-09,22,25,7,27,6,33,7
1003,2026-02-06,15,21,11,27,26,33,3
1002,2026-02-02,16,9,37,13,4,24,5
1001,2026-01-30,12,4,13,1,10,23,1
1000,2026-01-26,3,19,6,10,2,18,7
999,2026-01-23,21,35,26,9,10,7,5
998,2026-01-19,22,17,24,9,21,18,6
997,2026-01-16,8,9,26,33,19,20,5
996,2026-01-12,10,9,25,24,16,34,3
995,2026-01-09,25,19,16,8,12,5,3
994,2026-01-05,22,25,8,13,26,14,3
993,2026-01-02,22,3,34,9,12,31,7
992,2025-12-29,33,1,27,26,2,15,5
991,2025-12-26,35,5,29,30,31,12,2
990,2025-12-22,33,21,18,10,27,25,3
989,2025-12-19,13,2,36,25,15,5,3
988,2025-12-15,28,21,15,37,2,33,5
987,2025-12-12,8,16,6,7,25,3,5
986,2025-12-08,12,37,11,19,36,21,5
985,2025-12-05,31,7,4,28,37,36,6
984,2025-12-01,35,7,32,9,22,28,2
983,2025-11-28,5,22,34,20,15,27,3
982,2025-11-24,28,29,5,18,13,2,7
981,2025-11-21,27,16,31,33,12,15,1
980,2025-11-17,26,10,35,6,7,19,5
979,2025-11-14,35,22,30,13,2,20,4
978,2025-11-10,26,31,29,30,2,9,7
977,2025-11-07,22,1,27,31,23,25,3
976,2025-11-03,15,28,19,18,17,10,3
975,2025-10-31,33,32,8,10,31,26,2
974,2025-10-27,15,34,10,18,24,20,5
973,2025-10-24,26,23,34,4,20,9,2
972,2025-10-20,32,23,17,12,13,19,3
971,2025-10-17,27,2,23,28,32,9,4
970,2025-10-13,33,12,27,18,10,7,1
969,2025-10-10,26,17,3,25,11,16,1
968,2025-10-06,21,24,5,22,32,2,1
967,2025-10-03,13,14,12,19,20,7,3
